"Geo_FIPS","Edu_2019","Unemp_2019","Income_2019","Built_2019","Rent_2019"
17043843301,11.42,5.72,86544,57,1389
17043845602,3.26,2.96,88795,56,969
17043846310,9.58,4.18,64548,47,1331
17089853005,13.65,5.13,47320,46,993
17097860806,8.39,3.91,78776,38,1040
17097862402,50.03,8.14,42898,71,924
17089850202,41.86,6.98,57606,55,1319
17031200300,32.18,6.21,53798,0,991
17031222200,1.84,5.68,150625,0,1987
17031300900,56.16,3.84,29098,0,766
17031310300,25.85,8.81,51607,63,1102
17097863500,0.66,4.53,131836,43,1329
17031480400,7.13,7.37,53946,70,1149
17031832500,7.27,3.51,148802,44,1819
17097864901,0.03,3.33,194167,56,2054
17111871208,4.28,4.2,106458,25,1650
17197881006,5.21,3.2,94500,43,1667
17063000102,5.2,4.95,81214,19,1071
17089851102,35.04,4.8,66875,0,899
17031806201,12.12,6.23,49054,21,1102
17031806501,24.86,7.97,51156,62,1294
17031808002,7.49,4.83,79741,63,1764
17031812301,4.64,5.37,86363,48,1928
17031815300,12.34,4.48,73750,0,863
17031820603,20.59,7.34,59717,32,1318
17031822302,16.32,4.84,54904,46,1112
17031829100,27.33,17.39,30862,76,867
17031833100,5.63,2.04,132391,19,2316
17031835500,23.28,23.06,23922,60,550
17031840200,29.66,5.11,61806,68,1030
17031020701,7.86,6.08,97250,76,1394
17031030400,8.98,5.21,57500,0,948
17031050800,0.72,5.69,116488,75,1682
17031062400,6.3,2.17,133897,29,1814
17031070103,1.66,1.22,61118,55,1382
17031081900,2.04,0,194167,45,1069
17031151200,14.07,5.57,76885,72,1073
17031190701,38.51,6.67,42270,0,1008
17031812500,9.37,4.92,65438,0,914
17031817300,12.94,10.19,43542,77,1069
17097861009,3.66,3.99,119299,25,1865
17097864518,1.49,4.38,135052,38,1826
17037002200,5.87,20.38,14342,43,873
17031821402,6.09,8.48,48091,61,895
17031822802,7.81,9.06,64844,60,1209
17031825801,6.78,19.42,44470,47,968
17031830201,7.74,11.02,59662,47,1099
17031835800,12.12,16.4,66944,58,1219
17031841500,13.76,13.71,31944,0,1060
17031843600,11.09,18.61,39167,51,1148
17043841209,3.77,5.18,100795,29,1614
17043841902,2.83,3.19,97292,62,1067
17043845507,4.36,2.81,102308,52,1938
